order,id,date,time,title,url,visitCount,typedCount,transition
0,72272,11/18/2020,20:50:27,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related?hl=en,1,0,link
1,72271,11/18/2020,20:49:06,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
2,72270,11/18/2020,20:48:59,export browser history chrome to csv - Google Search,https://www.google.com/search?q=export+browser+history+chrome+to+csv&oq=export+browser+history+chrome+to+csv&aqs=chrome..69i57.5184j1j7&sourceid=chrome&ie=UTF-8,1,0,generated
3,68838,11/18/2020,20:45:10,Home,https://www.infragard.org/,2,0,link
4,72174,11/18/2020,20:43:29,Secret Service announces the creation of the Cyber Fraud Task Force,https://www.secretservice.gov/investigation/cftf/,3,0,link
5,72266,11/18/2020,20:43:28,Opportunities,https://www.secretservice.gov/join/opportunities/,2,0,link
6,72267,11/18/2020,20:43:28,United States Secret Service,https://www.secretservice.gov/,2,0,link
7,72269,11/18/2020,20:43:14,Apply,https://www.secretservice.gov/join/apply/,1,0,link
8,72267,11/18/2020,20:42:58,United States Secret Service,https://www.secretservice.gov/,2,0,link
9,72266,11/18/2020,20:42:36,Opportunities,https://www.secretservice.gov/join/opportunities/,2,0,link
10,72174,11/18/2020,20:42:05,Secret Service announces the creation of the Cyber Fraud Task Force,https://www.secretservice.gov/investigation/cftf/,3,0,link
11,72263,11/18/2020,20:41:58,ctft fbi - Google Search,https://www.google.com/search?q=ctft+fbi&oq=ctft+fbi&aqs=chrome..69i57j0i457j0l2j0i22i30j0i10i22i30j0i22i30l2.4712j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
12,72262,11/18/2020,20:41:47,Cyber Crime — FBI,https://www.fbi.gov/investigate/cyber,1,0,link
13,72261,11/18/2020,20:41:26,cyber crime task force government - Google Search,https://www.google.com/search?q=cyber+crime+task+force+government&oq=cyber+crime+task+force+government&aqs=chrome..69i57j0i457j0j0i22i30l5.8327j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
14,72172,11/18/2020,20:39:24,Joining InfraGard - jasridha@berkeley.edu - UC Berkeley Mail,https://mail.google.com/mail/u/2/#inbox/QgrcJHsblRxcClgftFdsswXqJDwkHqjHPzG,2,0,link
15,61146,11/18/2020,20:39:19,Inbox (277) - jasridha@berkeley.edu - UC Berkeley Mail,https://mail.google.com/mail/u/2/#inbox,149,0,link
16,61146,11/18/2020,20:39:19,Inbox (277) - jasridha@berkeley.edu - UC Berkeley Mail,https://mail.google.com/mail/u/2/#inbox,149,0,link
17,61140,11/18/2020,20:39:16,UC Berkeley Mail,https://mail.google.com/mail/u/2/,15,0,link
18,65755,11/18/2020,20:37:55,"Grades, 2020-0824 CYBER W200 Beyond the Code: Cyber Security in Context",https://learn.cybersecurity.berkeley.edu/ap/#/courses/430/sections/1637/grades,7,0,link
19,65755,11/18/2020,20:37:50,"Grades, 2020-0824 CYBER W200 Beyond the Code: Cyber Security in Context",https://learn.cybersecurity.berkeley.edu/ap/#/courses/430/sections/1637/grades,7,0,link
20,71681,11/18/2020,20:37:29,Final Project Initial Presentation and Outline,https://learn.cybersecurity.berkeley.edu/ap/courses/430/sections/5046d34c-f0ac-4ed2-bbbd-8eb901d03b32/coursework/module/06dff40f-100d-443b-bee8-3fbff6961fae/segment/10922fd2-fcb3-4123-ba91-ee3a46013b3a,3,0,link
21,65517,11/18/2020,20:37:22,"Assessments, 2020-0824 CYBER W200 Beyond the Code: Cyber Security in Context",https://learn.cybersecurity.berkeley.edu/ap/courses/430/sections/5046d34c-f0ac-4ed2-bbbd-8eb901d03b32/coursework/courseModule/06dff40f-100d-443b-bee8-3fbff6961fae,37,0,link
22,65206,11/18/2020,20:37:19,"Toolbox, 2020-0824 CYBER W200 Beyond the Code: Cyber Security in Context",https://learn.cybersecurity.berkeley.edu/ap/courses/430/sections/5046d34c-f0ac-4ed2-bbbd-8eb901d03b32/coursework/courseModule/6ef100ab-3143-4ffe-bc24-39aaf903d8ac,65,0,link
23,65205,11/18/2020,20:37:15,Coursework,https://learn.cybersecurity.berkeley.edu/ap/courses/430/sections/5046d34c-f0ac-4ed2-bbbd-8eb901d03b32/coursework,36,0,link
24,71412,11/18/2020,20:21:01,badssl.com,https://badssl.com/,4,1,typed
25,72260,11/18/2020,20:20:56,Search,https://dnserrorassist.att.net/search/?q=http%3A//badssl.org/&r=&t=0&akaCid=aaaaaaaa&bc=,1,0,link
26,72257,11/18/2020,20:01:58,most efficient way to implement certificate revocation checks in Python? - Stack Overflow,https://stackoverflow.com/questions/48745899/most-efficient-way-to-implement-certificate-revocation-checks-in-python,1,0,link
27,72256,11/18/2020,20:01:47,python ssl library check for revoked certificate - Google Search,https://www.google.com/search?q=python+ssl+library+check+for+revoked+certificate&oq=python+ssl+library+check+for+revoked+certificate&aqs=chrome..69i57.30655j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
28,70317,11/18/2020,19:46:48,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous,29,1,link
29,72249,11/18/2020,19:46:47,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16,13,0,link
30,72249,11/18/2020,19:46:47,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16,13,0,link
31,70317,11/18/2020,19:46:47,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous,29,1,link
32,72249,11/18/2020,19:46:47,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16,13,0,link
33,72249,11/18/2020,19:46:32,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16,13,0,link
34,72249,11/18/2020,19:46:32,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16,13,0,link
35,72254,11/18/2020,19:46:29,Updated to latest code; added adjustments latest changes for Check and CheckTester by robbyboparai · Pull Request #16 · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16#pullrequestreview-534061338,2,0,link
36,72254,11/18/2020,19:46:29,Updated to latest code; added adjustments latest changes for Check and CheckTester by robbyboparai · Pull Request #16 · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16#pullrequestreview-534061338,2,0,form_submit
37,72252,11/18/2020,19:46:13,Updated to latest code; added adjustments latest changes for Check and CheckTester by robbyboparai · Pull Request #16 · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16/files#submit-review,3,0,link
38,72252,11/18/2020,19:46:13,Updated to latest code; added adjustments latest changes for Check and CheckTester by robbyboparai · Pull Request #16 · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/pull/16/files#submit-review,3,0,link
