order,id,date,time,title,url,visitCount,typedCount,transition
0,15053,12/9/2020,16:37:14,Comparing main...janani-fix-checker · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/compare/janani-fix-checker,4,0,link
1,15052,12/9/2020,16:37:07,IsabelleLenertz/sturdy-couscous at janani-fix-checker,https://github.com/IsabelleLenertz/sturdy-couscous/tree/janani-fix-checker,2,0,link
2,6637,12/9/2020,16:36:22,Branches · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/branches,46,0,link
3,6637,12/9/2020,16:36:21,Branches · IsabelleLenertz/sturdy-couscous,https://github.com/IsabelleLenertz/sturdy-couscous/branches,46,0,link
4,6619,12/9/2020,16:36:21,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous,187,0,link
5,6619,12/9/2020,16:36:04,IsabelleLenertz/sturdy-couscous: An web-security audit agent for local and enterprise networks,https://github.com/IsabelleLenertz/sturdy-couscous,187,0,link
6,5619,12/9/2020,16:35:54,GitHub,https://github.com/,38,32,typed
7,15306,12/9/2020,15:38:01,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
8,15305,12/9/2020,15:37:57,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,1,0,link
9,15302,12/9/2020,15:36:39,export chrom history as csv - Google Search,https://www.google.com/search?q=export+chrom+history+as+csv&oq=export+chrom+history+as+csv&aqs=chrome..69i57j0i22i30i457.6582j0j4&sourceid=chrome&ie=UTF-8,3,0,generated
10,15304,12/9/2020,15:36:24,"How to Export Chrome Browsing History to HTML, CSV, or TXT",https://www.makeuseof.com/tag/export-chrome-browsing-history/,1,0,link
11,15302,12/9/2020,15:36:18,export chrom history as csv - Google Search,https://www.google.com/search?q=export+chrom+history+as+csv&oq=export+chrom+history+as+csv&aqs=chrome..69i57j0i22i30i457.6582j0j4&sourceid=chrome&ie=UTF-8,3,0,generated
12,15303,12/9/2020,15:36:15,Export History/Bookmarks to JSON/CSV*/XLS* - Chrome Web Store,https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en,1,0,link
13,15302,12/9/2020,15:36:06,export chrom history as csv - Google Search,https://www.google.com/search?q=export+chrom+history+as+csv&oq=export+chrom+history+as+csv&aqs=chrome..69i57j0i22i30i457.6582j0j4&sourceid=chrome&ie=UTF-8,3,0,generated
14,15301,12/9/2020,15:35:13,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&pli=1&rapt=AEjHL4NfJu9Dwo9z92Rc2wywsCgD-_yZS5FjmghIMuC7hcySxudeleHAqdRBleHTmPCsjLuxZ3Wu0vi2l2_bR3wha_TyNJUhUQ,1,0,link
15,15300,12/9/2020,15:35:13,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&pli=1&rapt=AEjHL4NfJu9Dwo9z92Rc2wywsCgD-_yZS5FjmghIMuC7hcySxudeleHAqdRBleHTmPCsjLuxZ3Wu0vi2l2_bR3wha_TyNJUhUQ#i=0&j=db688829-9edd-46a8-89b1-d964d5fe4436,2,0,link
16,15300,12/9/2020,15:35:12,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&pli=1&rapt=AEjHL4NfJu9Dwo9z92Rc2wywsCgD-_yZS5FjmghIMuC7hcySxudeleHAqdRBleHTmPCsjLuxZ3Wu0vi2l2_bR3wha_TyNJUhUQ#i=0&j=db688829-9edd-46a8-89b1-d964d5fe4436,2,0,link
17,15295,12/9/2020,15:35:05,Manage your exports,https://takeout.google.com/settings/takeout/downloads?hl=en,2,0,link
18,15295,12/9/2020,15:35:04,Manage your exports,https://takeout.google.com/settings/takeout/downloads?hl=en,2,0,link
19,15273,12/9/2020,15:34:56,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
20,15273,12/9/2020,15:34:53,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
21,15273,12/9/2020,15:34:52,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
22,15273,12/9/2020,15:34:48,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
23,15273,12/9/2020,15:34:47,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
24,15273,12/9/2020,15:34:40,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
25,15273,12/9/2020,15:34:28,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
26,15273,12/9/2020,15:34:27,Google Takeout,https://takeout.google.com/?hl=en,10,0,link
27,15294,12/9/2020,15:34:15,Google Account,https://myaccount.google.com/data-and-personalization,1,0,link
28,15293,12/9/2020,15:34:11,Google Account,https://myaccount.google.com/,2,0,link
29,15293,12/9/2020,15:34:11,Google Account,https://myaccount.google.com/,2,0,link
30,15292,12/9/2020,15:33:39,Google Data Export Archive Contents,file:///C:/Users/Isabelle%20Delmas/Downloads/Takeout/archive_browser.html,1,0,auto_toplevel
31,15291,12/9/2020,15:32:55,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w&hl=en,1,0,link
32,15290,12/9/2020,15:32:55,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w&hl=en#i=0&j=a7c13e13-6514-4829-91a2-5fef37cf27d8,2,0,link
33,15290,12/9/2020,15:32:53,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w&hl=en#i=0&j=a7c13e13-6514-4829-91a2-5fef37cf27d8,2,0,link
34,15288,12/9/2020,15:32:52,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w,1,0,link
35,15287,12/9/2020,15:32:52,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w#i=0&j=a7c13e13-6514-4829-91a2-5fef37cf27d8,2,0,link
36,15287,12/9/2020,15:32:51,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=105206967291332616010&hl=en&rapt=AEjHL4MAJisFP3Xe-tuGy2B4DgJX6vk8nJZ8B1yQfrxOl-w9mUbYfF2WF8jInpkW-crHNBmFebD9-oeNhupM65bwU9mZAcPW1w#i=0&j=a7c13e13-6514-4829-91a2-5fef37cf27d8,2,0,link
